propertyna,latitude,longitude,borough
Hillside Playground,40.740889,-73.712932,Queens
Hamilton Metz Field,40.662603,-73.940709,Brooklyn
Rockaway Beach Boardwalk,40.583812,-73.81319,Queens
Hamilton Fish Park,40.719979,-73.981457,Manhattan
Police Officer John G. Scarangella Park,40.593845,-73.984179,Brooklyn
Wingate Park,40.659409,-73.94493,Brooklyn
Gorman Playground,40.761846,-73.884052,Queens
Fulton Park,40.679937,-73.931687,Brooklyn
Forest Park,40.701621,-73.853329,Queens
Markham Playground,40.624411,-74.145701,Staten Island
Cooper Park,40.715795,-73.936355,Brooklyn
Riverside Park,40.783127,-73.985331,Manhattan
City Hall Park,40.713511,-74.006472,Manhattan
Cleopatra Playground,40.845565,-73.904131,Bronx
GREENSTREET,40.711776,-73.99227,Manhattan
Kissena Corridor Park,40.749357,-73.822278,Queens
Parkside Playground,40.868469,-73.867976,Bronx
Astoria Park,40.778529,-73.922167,Queens
Flushing Meadows Corona Park,40.753535,-73.838006,Queens
Rainbow Playground,40.640516,-74.011218,Brooklyn
Freedom Square Playground,40.723256,-73.820336,Queens
Idlewild Park,40.657455,-73.758807,Queens
Pelham Bay Park,40.868784,-73.792902,Bronx
Dawson Playground,40.819438,-73.898177,Bronx
Clement Clarke Moore Park,40.746618,-74.004105,Manhattan
Ferry Point Park,40.82145,-73.826654,Bronx
Tompkins Square Park,40.725656,-73.981328,Manhattan
Baisley Pond Park,40.67263,-73.787517,Queens
Alley Athletic Playground,40.739757,-73.734966,Queens
Herbert Von King Park,40.689812,-73.945706,Brooklyn
Rodney Playground Center,40.710169,-73.95557,Brooklyn
Dongan Playground,40.582895,-74.089837,Staten Island
Rockaway Beach Boardwalk,40.584641,-73.810846,Queens
Riverbend Playground,40.871998,-73.906,Bronx
Evergreen Park,40.698181,-73.896419,Queens
Cadman Plaza Park,40.698911,-73.990902,Brooklyn
Pulaski Park,40.805159,-73.923963,Bronx
Forest Park,40.700822,-73.858115,Queens
Harold Schneiderman Playground,40.665013,-73.85018,Queens
Wagner Houses Pool,40.801662,-73.932764,Manhattan
Ditmars Playground,40.771295,-73.907576,Queens
Prospect Park,40.655488,-73.963393,Brooklyn
CPL. Thompson Park,40.636898,-74.119249,Staten Island
Bartlett Playground,40.700852,-73.946395,Brooklyn
Brookville Park,40.65731,-73.748126,Queens
Nostrand Playground,40.6377,-73.947164,Brooklyn
Junction Playground,40.75455,-73.872228,Queens
Fish Playground,40.678271,-73.914208,Brooklyn
Prospect Park,40.660702,-73.974789,Brooklyn
Pierrepont Playground,40.69632,-73.997639,Brooklyn
Abingdon Square,40.737461,-74.005217,Manhattan
Conference House Park,40.50518,-74.254567,Staten Island
Grove Hill Playground,40.819872,-73.90855,Bronx
Maria Hernandez Park,40.703148,-73.92412,Brooklyn
Hoyt Playground,40.77181,-73.916827,Queens
L/CPL Thomas P. Noonan Jr. Playground,40.741043,-73.92249,Queens
Crotona Park,40.840378,-73.898092,Bronx
Randall's Island Park,40.799147,-73.922689,Manhattan
Cunningham Park,40.727239,-73.774163,Queens
Inwood Hill Park,40.872545,-73.930189,Manhattan
Patterson Playground,40.815966,-73.921926,Bronx
Highbridge Park,40.853208,-73.926661,Manhattan
Baisley Pond Park,40.684861,-73.786519,Queens
St. Michael's Playground,40.758712,-73.900129,Queens
Breininger Park,40.725961,-73.728796,Queens
Veterans Grove,40.742548,-73.877694,Queens
Maurice A FitzGerald Playground,40.690377,-73.839391,Queens
Franklin D. Roosevelt Boardwalk and Beach,40.578664,-74.074121,Staten Island
Poe Park,40.865029,-73.894695,Bronx
Dyker Beach Park,40.61201,-74.015358,Brooklyn
Cunningham Park,40.735295,-73.771802,Queens
Van Cortlandt Park,40.897084,-73.895507,Bronx
James A. Bland Playground,40.758185,-73.831172,Queens
Van Cortlandt Park,40.889982,-73.881224,Bronx
Sternberg Park,40.705999,-73.947151,Brooklyn
Henry Hudson Park,40.882438,-73.918475,Bronx
Hansborough Recreation Center,40.812834,-73.939331,Manhattan
Brooklyn Bridge Park,40.692898,-74.00171,Brooklyn
Rockaway Beach and Boardwalk,40.588479,-73.789675,Queens
Cunningham Park,40.730325,-73.775521,Queens
Jackie Robinson Park,40.827563,-73.940045,Manhattan
Alley Pond Park,40.741939,-73.739955,Queens
Seton Park,40.886385,-73.916455,Bronx
Randall's Island Park,40.792732,-73.915929,Manhattan
De Witt Clinton Park,40.768274,-73.994699,Manhattan
Haffen Park,40.874454,-73.838737,Bronx
Bennett Park,40.853154,-73.937946,Manhattan
Central Park,40.76909,-73.980773,Manhattan
Isham Park,40.871084,-73.919897,Manhattan
Prospect Park,40.668019,-73.973774,Brooklyn
Battery Park City,40.710001,-74.01813,Manhattan
Riverside Park,40.783153,-73.986792,Manhattan
Rappaport Playground,40.636869,-74.000753,Brooklyn
St. Nicholas Playground South,40.811306,-73.947125,Manhattan
Flushing Meadows Corona Park,40.739281,-73.841874,Queens
Jackie Robinson Park,40.824269,-73.942448,Manhattan
Shore Park and Parkway,40.631636,-74.039313,Brooklyn
Central Park,40.793687,-73.962362,Manhattan
Central Park,40.769345,-73.976933,Manhattan
Walter Gladwin Park,40.844688,-73.89456,Bronx
Prospect Park,40.660912,-73.974653,Brooklyn
Quaker Parrot Park at the Dust Bowl,40.632989,-74.013885,Brooklyn
Space Time Playground,40.822029,-73.859829,Bronx
Beach 9 Playground,40.595274,-73.745518,Queens
Robert Moses Playground,40.748156,-73.969942,Manhattan
Washington Skate Park,40.672856,-73.985785,Brooklyn
Alice Austen Park,40.615119,-74.063025,Staten Island
Forest Park,40.70989,-73.835412,Queens
Flynn Playground,40.820873,-73.911713,Bronx
Soundview Park,40.81947,-73.873563,Bronx
Linden Park,40.657974,-73.887435,Brooklyn
Central Park,40.772038,-73.971184,Manhattan
Ditmars Playground,40.771423,-73.9074,Queens
Msgr. McGolrick Park,40.724788,-73.943516,Brooklyn
