neighborhood_tabulation_area_nta,latitude,longitude,boro
Hunters Point-Sunnyside-West Maspeth,40.753122,-73.92072,Queens
Old Town-Dongan Hills-South Beach,40.589908,-74.100904,Staten Island
Hudson Yards-Chelsea-Flatiron-Union Square,40.742723,-73.9928,Manhattan
,40.716388,-73.99267,Manhattan
Jackson Heights,40.755835,-73.881778,Queens
Park Slope-Gowanus,40.676134,-73.971836,Brooklyn
Manhattanville,40.817656,-73.953007,Manhattan
Norwood,40.8797606,-73.8755175,Bronx
East Village,40.72848,-73.987876,Manhattan
Upper East Side-Carnegie Hill,40.764821,-73.970303,Manhattan
Claremont-Bathgate,40.846926,-73.898221,Bronx
Richmond Hill,40.699841,-73.830932,Queens
Gramercy,40.737088,-73.981368,Manhattan
Turtle Bay-East Midtown,40.756577,-73.97047,Manhattan
Washington Heights South,40.832283,-73.942327,Manhattan
Melrose South-Mott Haven North,40.816692,-73.919637,Bronx
Longwood,40.823945,-73.895682,Bronx
Hamilton Heights,40.82732,-73.950026,Manhattan
Glen Oaks-Floral Park-New Hyde Park,40.74515,-73.70943,Queens
Hudson Yards-Chelsea-Flatiron-Union Square,40.74475,-73.998736,Manhattan
Lenox Hill-Roosevelt Island,40.773006,-73.958069,Manhattan
Crown Heights North,40.675965,-73.950008,Brooklyn
Clinton,40.762246,-73.986293,Manhattan
Prospect Lefferts Gardens-Wingate,40.654704,-73.959568,Brooklyn
Marble Hill-Inwood,40.863688,-73.917308,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.719679,-74.004974,Manhattan
Morningside Heights,40.803721,-73.967381,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.739336,-73.995264,Manhattan
Elmhurst,40.746966,-73.889705,Queens
Elmhurst,40.733889,-73.872709,Queens
Forest Hills,40.7246,-73.84946,Queens
Stuyvesant Heights,40.679815,-73.937627,Brooklyn
Crown Heights South,40.669167,-73.950502,Brooklyn
Jackson Heights,40.747412,-73.887615,Queens
Jamaica,40.705204,-73.775258,Queens
Bushwick South,40.699584,-73.927465,Brooklyn
SoHo-TriBeCa-Civic Center-Little Italy,40.724065,-74.007972,Manhattan
Upper West Side,40.79338,-73.96701,Manhattan
Murray Hill-Kips Bay,40.739137,-73.980148,Manhattan
Lenox Hill-Roosevelt Island,40.762896,-73.965443,Manhattan
Murray Hill-Kips Bay,40.746217,-73.977614,Manhattan
Mott Haven-Port Morris,40.807108,-73.918343,Bronx
East Village,40.730833,-73.983098,Manhattan
St. Albans,40.68026,-73.75352,Queens
Washington Heights South,40.847513,-73.935363,Manhattan
,40.71108,-73.92862,Brooklyn
Jamaica,40.706507,-73.792368,Queens
Midtown-Midtown South,40.763996,-73.984719,Manhattan
Fort Greene,40.685787,-73.97332,Brooklyn
East Harlem North,40.803834,-73.938107,Manhattan
Melrose South-Mott Haven North,40.819394,-73.916163,Bronx
Turtle Bay-East Midtown,40.753414,-73.966651,Manhattan
Upper West Side,40.786519,-73.977765,Manhattan
Upper West Side,40.786207,-73.977698,Manhattan
Longwood,40.820806,-73.898984,Bronx
Gramercy,40.741481,-73.983198,Manhattan
Midtown-Midtown South,40.759379,-73.984637,Manhattan
New Dorp-Midland Beach,40.573466,-74.106917,Staten Island
Midtown-Midtown South,40.764212,-73.984545,Manhattan
Bedford Park-Fordham North,40.86487,-73.8928,Bronx
East Village,40.731015,-73.988685,Manhattan
Turtle Bay-East Midtown,40.758777,-73.96584,Manhattan
Midtown-Midtown South,40.759712,-73.974008,Manhattan
